source,target,score
[MASK] causes rocks to roll downhill [SEP] gravity,friction erosion magnetism magnet electricity gravity motion energy conde eva,0.38130611181259155 0.06802383065223694 0.00742713175714016 0.004947187379002571 0.003121043089777231 0.0030952373053878546 0.0029753849375993013
[MASK] of measurement describes an object 's length [SEP] meter,kilogram liter degree ki minute kilometer meter grams minutes ##logram,0.5228071212768555 0.010533151216804981 0.004923151805996895 0.0032606758177280426 0.0024237630423158407 0.002043923130258918 0.0019030655967071652
[MASK] is used to determine an object 's texture [SEP] touch,hearing smell taste touch vision thought sight sound feeling tasting,0.008879754692316055 0.007957346737384796 0.006862124893814325 0.002762839663773775 0.0017847074195742607 0.0015753465704619884 0.0014184584142640233
[MASK] is found in food [SEP] chemical,electrical sound mechanical magnetic chemical light electricity physical heat electric,0.00743363332003355 0.00584318395704031 0.004789459984749556 0.003790757153183222 0.0028824605979025364 0.0016331681981682777 0.0014735785080119967
A student crumples up a sheet of paper.  [MASK]  property of the paper has changed [SEP] shape,color mass state weight smell size temperature structure texture position,0.027246132493019104 0.004500225186347961 0.003068898804485798 0.002270527184009552 0.002094188705086708 0.0020914901979267597 0.0017527990275993943
[MASK] is nonliving [SEP] bicycle,bear bird butterfly dog deer elephant cat tree rabbit horse,0.004992729518562555 0.00356372375972569 0.0034821664448827505 0.0034191475715488195 0.0030877524986863136 0.002917973091825843 0.0028674472123384476
the main source of energy for the water cycle is [MASK] [SEP] sunlight,electricity erosion gravity wind eva friction air heat sunlight energy,0.013151493854820728 0.005499901715666056 0.004478638991713524 0.0038245245814323425 0.003348656464368105 0.0026947155129164457 0.0023410855792462826
"If an object is attracted to a magnet, the object is most likely made of [MASK]  [SEP] metal",wood plastic cardboard glass stone steel aluminum clay iron rubber,0.009944401681423187 0.009066084399819374 0.004540808964520693 0.0025946421083062887 0.0016611862229183316 0.001644551521167159 0.0014707633526995778
[MASK] causes an ice cube to melt [SEP] heat,mechanical magnetic sound electrical light chemical magnet vibration gravity electricity,0.013863869942724705 0.013343272730708122 0.011569829657673836 0.010399553924798965 0.00719117047265172 0.004968984518200159 0.003822876838967204
[MASK] causes a marble to sink to the bottom of a glass of water [SEP] gravity,friction magnetism electricity magnet erosion energy gravity sound motion light,0.2446761280298233 0.012099836952984333 0.009148752316832542 0.0060096625238657 0.0019145789556205273 0.0016284851590171456 0.0015664782840758562
"An object’s hardness, taste, and texture are examples of [MASK]  [SEP] properties",principles stages processes changes solutions forms causes reactions surfaces qualities,0.002994927577674389 0.0019690219778567553 0.0018836387898772955 0.0018367222510278225 0.0017888406291604042 0.0017680599121376872 0.0015409428160637617
[MASK] is necessary for humans to maintain good health [SEP] resting,reading driving talking walking eating flying seeing shopping thinking hiking,0.008378305472433567 0.007019114214926958 0.0039110444486141205 0.0026182106230407953 0.002372314454987645 0.0019273841753602028 0.0015358631499111652
Some birds fly south before winter each year. This is an example of [MASK]  [SEP] migration,hibernation germination evaporation eva ge hi growth communication camouflage reproduction,0.4680408537387848 0.21692708134651184 0.1695757359266281 0.020497122779488564 0.013998666778206825 0.010331922210752964 0.005743236280977726
[MASK] often helps an animal attract a mate [SEP] coloration,hibernation camouflage migration hi movement ge communication coloration insulation growth,0.15717938542366028 0.012163342908024788 0.010183348320424557 0.008831029757857323 0.00561907235532999 0.004777128808200359 0.0034942172933369875
"Windy, cloudy, rainy, and cold are words that help describe [MASK]  [SEP] weather",evaporation deposition matter eva precipitation erosion clouds groundwater friction force,0.2642368674278259 0.011194021441042423 0.008005902171134949 0.004819422494620085 0.003225714201107621 0.003157402155920863 0.002850939752534032
[MASK] can be used to determine an object 's ability to reflect light [SEP] sight,hearing smell taste touch vision sight thought feeling weight sound,0.01741577498614788 0.00834020134061575 0.0045398566871881485 0.004017034079879522 0.0016348074423149228 0.0015570487594231963 0.0014598502311855555
A student drops a ball.  [MASK]  force causes the ball to fall to the ground [SEP] gravity,electricity friction magnetism magnet mechanical energy tension force erosion gravity,0.24413084983825684 0.01132709626108408 0.007609488442540169 0.005559877026826143 0.004225669428706169 0.0038405393715947866 0.002925761742517352
[MASK] can be used to describe an object 's length [SEP] meters,grams minutes liters liter centimeters meters degrees mill gallons miles,0.09014060348272324 0.03805050998926163 0.017369961366057396 0.014338414184749126 0.012272556312382221 0.012260203249752522 0.006683474872261286
[MASK] is being used when a person pushes a wooden block across the floor [SEP] mechanical,magnetic sound electrical light mechanical chemical heat magnet gravity electricity,0.01956944353878498 0.014204049482941628 0.007224881090223789 0.003133364487439394 0.0024218226317316294 0.0019039856269955635 0.0017957707168534398
"During winter, the white fur of an arctic fox blends in with the snow. This adaptation is called [MASK]  [SEP] camouflage",hibernation migration movement hi camouflage ge communication instinct insulation variation,0.2914663255214691 0.019084854051470757 0.009132733568549156 0.005283095873892307 0.0029298404697328806 0.0026632738299667835 0.0024191581178456545
"Since green plants make their own food, they are called [MASK]  [SEP] producers",predators prey decomposers deco producers car consumers herb om predator,0.4469653069972992 0.009427005425095558 0.008217931725084782 0.006423119455575943 0.004733034409582615 0.0040757376700639725 0.0034691544715315104
Humans depend on  [MASK]  natural resource from the environment [SEP] water,houses electricity roads air food land electrical wind gravity lights,0.009097093716263771 0.0037851601373404264 0.003220784477889538 0.002957303309813142 0.002526887459680438 0.0025127141270786524 0.0022941851057112217
Many birds fly south for the winter. This adaptation is called [MASK]  [SEP] migration,hibernation germination communication hi ge camouflage migration eva growth movement,0.3108992278575897 0.22599662840366364 0.03305267170071602 0.029951410368084908 0.019830213859677315 0.009518679231405258 0.003844306105747819
Green plants get the energy they need to make food from [MASK]  [SEP] sunlight,air water soil animals earth sunlight grass wind groundwater flowers,0.0035200591664761305 0.003332860302180052 0.002433937508612871 0.0023628277704119682 0.0022283950820565224 0.0022012125700712204 0.0018993915291503072
"When plants and animals die,  [MASK]  organisms help return nutrients to the food chain [SEP] decomposers",predators prey producers consumers producer car predator bacteria fish parasites,0.008919033221900463 0.0053169201128184795 0.0035838403273373842 0.002873114077374339 0.00194478256162256 0.0018609509570524096 0.0018368869787082076
Some butterflies live an average of two weeks. This period of time is called a life [MASK]  [SEP] span,process change cycle period life cycles time exchange experience growth,0.003672810271382332 0.0034174416214227676 0.0023436604533344507 0.002167740371078253 0.001551907742395997 0.0013976723421365023 0.0013642215635627508
"In New York State, the longest period of daylight occurs during  [MASK]  month [SEP] June",March December September march september december june may october autumn,0.41983428597450256 0.34624820947647095 0.19118505716323853 0.017419246956706047 0.004700938705354929 0.0019207532750442624 0.001591866952367127
"Sleet, rain, snow, and hail are forms of [MASK]  [SEP] precipitation",erosion evaporation groundwater eva energy clouds conde precipitation sediment fe,0.4353093206882477 0.014617296867072582 0.010390205308794975 0.007232503034174442 0.007172226905822754 0.006621516775339842 0.004198627546429634
[MASK] is needed to change water from a liquid to a gas [SEP] heat,mechanical chemical sound light electrical gravity magnetic electricity heat water,0.01799854077398777 0.016503242775797844 0.008247475139796734 0.006949516013264656 0.0027858454268425703 0.0023582789581269026 0.0019680738914757967
[MASK] of energy does a person use to pedal a bicycle [SEP] mechanical,light sound electrical mechanical heat chemical electricity magnetic solar gravity,0.010401057079434395 0.010052681900560856 0.00898746121674776 0.002578655257821083 0.002185672987252474 0.001427849754691124 0.0013655265793204308
"Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone.  [MASK]  process caused the rainwater in the pan to disappear as it sat outside in the hot air [SEP] evaporation",condensation precipitation erosion conde melting trans eva freezing fi rust,0.5122789144515991 0.0238476749509573 0.022837592288851738 0.016573399305343628 0.012577692046761513 0.006368279457092285 0.004308502655476332
A mother hen clucks loudly  [MASK]  danger is near and her chicks quickly gather around her. Which sense helps the chicks receive this warning about danger from their mother [SEP] sound,smell taste sight hearing touch vision light view sound see,0.005826375912874937 0.003970818594098091 0.003951362334191799 0.003923092503100634 0.0016212291084229946 0.0013512001605704427 0.0008018126827664673
A student has a ball of clay that sinks  [MASK]  placed in a pan of water. Which property should he change to make the clay float [SEP] shape,color texture mass weight smell odor size state shape temperature,0.02419745735824108 0.01155155897140503 0.007899826392531395 0.006738871335983276 0.005716925952583551 0.0044662063010036945 0.004058371298015118
[MASK] of a plant produces the seeds [SEP] flower,leaves stem roots root stems flower leaf seed flowers petals,0.034759677946567535 0.019215624779462814 0.012772233225405216 0.00931109581142664 0.007689387071877718 0.002833053469657898 0.002241381909698248
Fourth graders are planning a roller-skate race.  [MASK]  surface would be the best for this race [SEP] blacktop,gravel sand grass clay rock stone ice limestone mud granite,0.006802208721637726 0.0055904691107571125 0.0030170083045959473 0.002790911355987191 0.0026938454248011112 0.002524093259125948 0.0021651273127645254
Animals get energy for growth and repair from [MASK]  [SEP] food,soil water air sunlight minerals heat animals wind fruit plants,0.006680832710117102 0.0021443762816488743 0.0019158987561240792 0.0017556268721818924 0.0016788397915661335 0.0014352683210745454 0.001391379744745791
a rabbit 's fur would be thickest during [MASK] [SEP] winter,fall spring summer autumn winter march day september sunset night,0.03663114085793495 0.00589404720813036 0.0029963129200041294 0.002194945467635989 0.0018058356363326311 0.0013632618356496096 0.001020219293422997
"[MASK] is usually found in nature as a liquid , solid , and gas [SEP] water",rock metal glass wood stone earth brick plastic granite sand,0.006277591921389103 0.006056751124560833 0.005642132833600044 0.005065165925770998 0.0049055712297558784 0.004298963584005833 0.0038307250943034887
"When a person speaks into a telephone, sound energy is changed mostly into  [MASK]  form of energy [SEP] electrical",heat light chemical sound electrical mechanical thermal solar magnetic nuclear,0.021424392238259315 0.015484732575714588 0.008494997397065163 0.008364571258425713 0.006714868359267712 0.0036381350364536047 0.00318932649679482
A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by [MASK]  [SEP] friction,magnetism sound light magnet gravity electricity vibration friction force conduct,0.38511762022972107 0.021656803786754608 0.018356626853346825 0.0030306940898299217 0.00247082207351923 0.0019233956700190902 0.0016432066913694143
" [MASK]  a baby shakes a rattle, it makes a noise. Which form of energy was changed to sound energy [SEP] mechanical",electrical light heat sound chemical mechanical electricity magnetic gravity thermal,0.035733338445425034 0.017323866486549377 0.010602124035358429 0.00870717503130436 0.006438158918172121 0.004278741776943207 0.002475269138813019
A ball is tossed up in the air and it comes back down. The ball comes back down because of [MASK]  [SEP] gravity,friction erosion magnetism magnet electricity motion conduct gravity insulation weight,0.46556851267814636 0.052758362144231796 0.006658557802438736 0.006096862256526947 0.004930615890771151 0.0043110535480082035 0.0041663022711873055
Sleet and hail are forms of [MASK]  [SEP] precipitation,clouds energy evaporation eva groundwater erosion electricity vapor precipitation matter,0.4482688903808594 0.02454560436308384 0.014890245161950588 0.008778679184615612 0.005819021258503199 0.004740504547953606 0.004279598593711853
The movement of soil by wind or water is called [MASK]  [SEP] erosion,condensation evaporation friction conde eva precipitation migration sediment groundwater vapor,0.4273085296154022 0.4108257293701172 0.025090280920267105 0.007038675714284182 0.0061687626875936985 0.004539468791335821 0.003668320132419467
[MASK] is used to measure the volume of a liquid [SEP] graduated cylinder,balance ruler thermometer the microscope a bar gravity inclined indicator,0.2931146025657654 0.006460761651396751 0.005072108935564756 0.0031554452143609524 0.002373510506004095 0.0019359312718734145 0.0018886802718043327
